date,home_team,visitor_team,home_team_score,visitor_team_score
2019-10-22,LAC,LAL,112,102
2019-10-22,TOR,NOP,130,122
2019-10-23,POR,DEN,100,108
2019-10-23,UTA,OKC,100,95
2019-10-23,CHA,CHI,126,125
2019-10-23,ORL,CLE,94,85
2019-10-23,DAL,WAS,108,100
2019-10-23,PHX,SAC,124,95
2019-10-23,MIA,MEM,120,101
2019-10-23,IND,DET,110,119
2019-10-23,BKN,MIN,126,127
2019-10-23,PHI,BOS,107,93
2019-10-23,SAS,NYK,120,111
2019-10-24,DET,ATL,100,117
2019-10-24,GSW,LAC,122,141
2019-10-24,HOU,MIL,111,117
2019-10-25,BKN,NYK,113,109
2019-10-25,BOS,TOR,112,106
2019-10-25,CHA,MIN,99,121
2019-10-25,NOP,DAL,116,123
2019-10-25,DEN,PHX,108,107
2019-10-25,MEM,CHI,102,110
2019-10-25,OKC,WAS,85,97
2019-10-25,SAC,POR,112,122
2019-10-25,LAL,UTA,95,86
2019-10-26,DET,PHI,111,117
2019-10-26,ATL,ORL,103,99
2019-10-26,MIL,MIA,126,131
2019-10-26,NYK,BOS,95,118
2019-10-26,CHI,TOR,84,108
2019-10-26,CLE,IND,110,99
2019-10-26,UTA,SAC,113,81
2019-10-26,HOU,NOP,126,123
2019-10-26,PHX,LAC,130,122
2019-10-26,SAS,WAS,124,122
2019-10-27,LAL,CHA,120,101
2019-10-27,OKC,GSW,120,92
2019-10-27,MEM,BKN,134,133
2019-10-27,DAL,POR,119,121
2019-10-27,MIN,MIA,116,109
2019-10-28,NYK,CHI,105,98
2019-10-28,HOU,OKC,116,112
2019-10-28,DET,IND,96,94
2019-10-28,MIL,CLE,129,112
2019-10-28,SAS,POR,113,110
2019-10-28,TOR,ORL,104,95
2019-10-28,ATL,PHI,103,105
2019-10-28,NOP,GSW,123,134
2019-10-28,PHX,UTA,95,96
2019-10-28,SAC,DEN,94,101
2019-10-28,LAC,CHA,111,96
2019-10-29,MIA,ATL,112,97
2019-10-29,LAL,MEM,120,91
2019-10-29,DEN,DAL,106,109
2019-10-30,WAS,HOU,158,159
2019-10-30,CLE,CHI,117,111
2019-10-30,PHI,MIN,117,95
2019-10-30,ORL,NYK,95,83
2019-10-30,GSW,PHX,110,121
2019-10-30,OKC,POR,99,102
2019-10-30,TOR,DET,125,113
2019-10-30,BOS,MIL,116,105
2019-10-30,BKN,IND,108,118
2019-10-30,SAC,CHA,111,118
2019-10-30,UTA,LAC,110,96
2019-10-31,NOP,DEN,122,107
2019-10-31,LAC,SAS,103,97
2019-10-31,ATL,MIA,97,106
2019-11-01,IND,CLE,102,95
2019-11-01,BKN,HOU,123,116
2019-11-01,DAL,LAL,110,119
2019-11-01,ORL,MIL,91,123
2019-11-01,BOS,NYK,104,102
